NE Name,Resource Name,Queue Block,Queue Number,Time,Dequeued (Bytes),Dequeued (Frames),Dropped (Bytes),Dropped (Frames)
NACM_172.17.238.90,Ethernet 1/3,0/1,7,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,7,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,0,2026-02-05 13:46:17,814788608,6365536,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,0,2026-02-05 13:48:17,960745856,7505827,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,0,2026-02-05 13:50:17,1106674944,8645898,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,0,2026-02-05 13:52:17,1252595968,9785906,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,0,2026-02-05 13:54:17,1398473472,10925574,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,0,2026-02-05 13:56:17,1544393856,12065577,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,0,2026-02-05 13:58:17,1690425088,13206446,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,1,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,1,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,1,2026-02-05 13:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,1,2026-02-05 13:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,1,2026-02-05 13:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,1,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,1,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,2,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,2,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,2,2026-02-05 13:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,2,2026-02-05 13:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,2,2026-02-05 13:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,2,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,2,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,3,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,3,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,3,2026-02-05 13:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,3,2026-02-05 13:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,3,2026-02-05 13:54:17,0,0,0,0
